FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1002851,Wallowa County Farmers Market,http://www.wallowacountyfarmersmarket.com,https://www.facebook.com/WallowaCountyFarmersMarket,,,,Joseph Street,Enterprise ,Wallowa,Oregon,97828,05/28/2016 to 10/08/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-117.230191,45.354478,,6/29/2016 14:24
1002853,Port Huemene Farmers Market,,,,,,Walnut & Lyons,Port Huemene,Ventura,California,93041,,,,,,,,,-118.531,34.3809,,2009
1002854,East Goshen Farmers Market,http://www.eastgoshenfarmersmarket.blogspot.com,,,,,"East Goshen Park - Paoli Pike, east of Route 352",West Chester,Chester,Pennsylvania,19380,May to August,Thu:3:00 PM - 3:00 PM;,November to April,Thu:3:00 PM - 5:00 PM;Thu:3:00 PM - 5:00 PM;,September to October,Thu:2:00 PM - 6:00 PM;,,,,,Local government building grounds,5/30/2012 15:45
1002855,Hillside Farmers Market,,,,,,2870 Hwy 275,Hamburg,Fremont,Iowa,51650,,,,,,,,,-95.649,40.6306,,Apr 21 2010  5:33PM
1002856,Mile High Flea Market,http://www.milehighfleamarket.com,,,,,7007 E. 88th Ave.,Henderson,Adams,Colorado,80640,01/01/2013 to 12/31/2013,Fri: 7:00 AM-5:00 PM;Sat: 7:00 AM-5:00 PM;Sun: 7:00 AM-5:00 PM;,,,,,,,-104.904494,39.8589,Other,6/27/2013 12:03
1002857,Farmers and Artisans Market,,,,,,4309 Lancaster Rd SE,Granville,Licking,Ohio,43023,,,,,,,,,-82.523,40.013,,2009
1002858,Sistersville Farmers Market,,,,,,Route 2 Sistersville  WV,Sistersville,Tyler,West Virginia,26175,,,,,,,,,-81.0001,39.5609,,Apr 16 2010 10:16AM
1002860,Attalla City Farmers Market,,https://www.facebook.com/pages/City-of-Attalla/123797897678490,,,,3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554,06/06/2013 to 09/26/2013,Thu: 2:00 PM-6:00 PM;,,,,,,,-86.0885852,34.0217639,,8/15/2014 10:29
1002861,North Royalton Farmers Market,,,,,,Memorial Park State Rd,North Royalton,Cuyahoga,Ohio,44133,,,,,,,,,-81.7245,41.3096,,2009
1002863,Piedmont Farmers Market,http://www.piedmont-farmersmarket.com,,,,,Robinson Church Rd,Harrisburg,Cabarrus,North Carolina,28027,,Mon: 4:00 PM-7:00 PM;,,,,,,,-80.65424,35.316631,Local government building grounds,6/27/2013 13:47
1002864,Piedmont Farmers Market,http://www.piedmont-farmersmarket.com,,,,,518 Winecoff School Rd.,Concord,Cabarrus,North Carolina,28027,,Tue: 9:00 AM-12:00 PM;Sun: 8:00 AM-12:30 PM;,,,,,,,-80.625293,35.445009,Other,6/27/2013 13:44
1002866,Bolan Farmers Market,,,,,,In front of Bolan School House,Bolan,Worth,Iowa,50440,,,,,,,,,-93.1185,43.3728,,2009
1002869,Canton Farmers Market,http://www.canton-mississippi.com,,,,,100 Depot Drive,Canton,Madison,Mississippi,39046,,,,,,,,,-90.035727,32.613767,Local government building grounds,6/24/2013 16:44
1002870,Phoenixville Farmers' Market,http://www.phoenixvillefarmersmarket.org,https://www.facebook.com/pages/Phoenixville-Farmers-Market/212007240376,https://twitter.com/PXFMarket,,,270 Mill Street,Phoenixville,Chester,Pennsylvania,19460,04/01/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,11/26/2016 to 12/31/2016,Sat: 10:00 AM-12:00 PM;,01/01/2017 to 03/31/2017,Sat: 10:00 AM-12:00 PM;,,,-75.518758,40.134671,,7/7/2016 16:12
1002872,Woodinville Farmers Market,http://www.WoodinvilleFarmersMarket.com,https://www.facebook.com/WoodinvilleFarmersMarket,https://twitter.com/WFMManager,,,17301 133rd Ave NE,Woodinville,King,Washington,98072,05/03/2014 to 09/27/2014,Sat: 10:00 AM-4:00 PM;,,,,,,,-122.161499,47.75298,Closed-off public street,4/2/2014 14:30
1002873,Tuckerton Farmers Market at the Seaport,http://www.tuckertonborough.com,,,,,140 E. Main Street,Tuckerton,Ocean,New Jersey,,,,,,,,,,-74.3382,39.6033,,2009
1002874,Cheverly Community Market,http://www.cheverlycommunitymarket.com,https://www.facebook.com/pages/Cheverly-Community-Market/341178705916835,https://twitter.com/cheverlymarket,,http://www.cheverlycommunitymarket.blogspot.com,6401 Forest Road,Cheverly,Prince George's,Maryland,20785,,,,,,,,,-76.90633,38.92414,Local government building grounds,7/20/2013 16:26
1002875,Old-Town Farmers' Market,http://www.old-townfarmersmarket.com,,,,,5770 Irlo Bronson Memorial Highway,Kissimmee,Osceola,Florida,34746,,,,,,,,,-81.516,28.3304,,2009
1002880,Frankenmuth Farmers Market,http://www.frankenmuthfarmersmarket.org,https://www.facebook.com/Frankenmuth-Farmers-Market-106279602732863/ ,https://twitter.com/MuthFarmMarket,,https://www.instagram.com/frankenmuth_farmers_market/,534 North Main Street,Frankenmuth,Saginaw,Michigan,48734,05/14/2016 to 10/15/2016,Wed: 3:00 PM-7:00 PM;Sat: 8:00 AM-2:00 PM;,,,,,,,-83.738212,43.344313,,7/27/2016 21:50
1002881,Barberville Family Farm Swap & Market,http://www.farmswapmarket.com,,,,,Lemmon road and Highway 40,Barberville,Volusia,Florida,32130-0732,01/01/2012 to 12/31/2012,Sat: 6:00 AM-1:00 PM;,,,,,,,-81.425782,29.182618,Educational institution,3/31/2014 16:28
1002882,Monrovia Farmers Market,http://www.farmernet.com,,,,,Olive & Myrtle Ave.,Los Angeles,Los Angeles,California,90018,,,,,,,,,-118.001,34.1448,,2009
1002883,Farm Fresh Market,,,,,,1631 4th Street SW,Mason City,Cerro Gordo,Iowa,50459,,,,,,,,,-93.2259,43.1484,,2009
1002884,Lenox/Canastota Farmers Market,,,,,,Cor. of Main & Hickory St,Canastota,Madison,New York,13032,07/13/2013 to 10/19/2013,Sat: 9:00 AM-2:00 PM;,,,,,,,-75.755324,43.074781,Private business parking lot,3/13/2014 15:04
1002885,Mineral Point Market,http://www.mineralpointmarket.com,https://www.facebook.com/pages/Mineral-Point-Market/208185289219556,,,,Business Highway 151 at Madison Street.,Mineral Point,Iowa,Wisconsin,53565,05/03/2014 to 10/18/2014,Sat: 8:30 AM-11:00 AM;,,,,,,,-90.186582,42.863,Local government building grounds,4/7/2014 21:39
1002887,Unity Market Day Farmers Market,http://www.unitymarketday.org,,,,,Unity Community Center,Unity,Waldo,Maine,4988,05/03/2014 to 11/15/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-69.33577,44.611675,Other,3/31/2014 16:53
1002888,Green Lake Farmer's Market,http://www.visitgreenlake.com,,,,,550 Mill Street,Green Lake,Green Lake,Wisconsin,54941,05/23/2014 to 10/10/2014,Fri: 3:00 PM-7:00 PM;,,,,,,,-88.9600638,43.8468784,Other,3/31/2014 16:00
1002890,Wellington Square Certified Farmers Market,http://www.wellingtonsquarefarmersmarket.com,https://www.facebook.com/wellingtonsquarefarmersmarket,https://twitter.com/wsfarmersmarket,,,4394 W Washington Blvd.,Los Angeles,Los Angeles,California,90016,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-118.334753,34.03979,,6/27/2016 15:07
1002891,Winona Farmers Market,http://www.winonafarmersmarket.com,https://www.facebook.com/pages/Winona-Farmers-Market/118261038206750,https://twitter.com/WinonaMarket,,,Main Street and 2nd Street,Winona,Winona,Minnesota,55987,05/03/2014 to 10/25/2014,Sat: 7:30 AM-1:00 PM;,,,,,,,-91.6373482,44.0536687,Closed-off public street,4/18/2014 10:11
1002894,Wilkes-Barre Farmers Market,http://www.wilkes-barre.pa.us,,,,,Public Square,Wilkes-Barre,Luzerne,Pennsylvania,18711,,,,,,,,,-75.8818,41.2454,,2009
