FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1012045,Encino Farmers Market,,,,,,17400 Victory Blvd,Van Nuys,Los Angeles,California,91406,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,,,,,,,-118.5128542,34.1862306,,6/27/2016 16:05
1012046,Madras Saturday Market Holiday Market,,Madras Saturday Market,,,,Fairgrounds Rd,Madras ,Jefferson,Oregon,97741,12/10/2016 to 12/10/2016,Sat: 9:00 AM-4:00 PM;,,,,,,,-121.1385911,44.6178903,,6/27/2016 17:00
1012047,Marymount Farmers Market,http://www.marymountfarmersmarket.org,,,,,2807 N. Glebe Road,Arlington,Arlington,Virginia,22207,05/21/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.128471,38.904309,,6/27/2016 22:17
1012048,Elm Street Square Farmer's Market,,,,,,Elm Street,Newton ,Middlesex,Massachusetts,2465,06/18/2016 to 10/08/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-71.2303515,42.3509392,,6/27/2016 20:28
1012049,Newton Farmers' Market Depot,,,,,,250 Albemarle Road,Newtonville,Middlesex,Massachusetts,2460,11/05/2016 to 12/17/2016,Sat: 12:00 PM-2:00 PM;,,,,,,,-71.216376,42.357832,,6/27/2016 20:57
1012050,Ellington Winter Farmers' Market,http://www.ellingtonfarmersmarket.com/,https://www.facebook.com/ellingtonfarmersmarket/,https://twitter.com/EllingtonFM,https://www.youtube.com/watch?v=UTlDsofYFH4,https://www.pinterest.com/ellingtonfm/,11 Pinney ST,Ellington,Tolland,Connecticut,6029,11/19/2016 to 03/18/2017,Sat: 2:00 PM-4:00 PM;,,,,,,,-72.49035,41.8697886,,7/7/2016 16:36
1012051,Village of Aurora Farmers Market,https://auroranyfarmersmarket.com/,https://www.facebook.com/Aurora-Farmers-Market-1619273541646945/,,,,170 Main Street,Aurora,Cayuga,New York,13026,06/04/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-76.701286,42.738376,,6/28/2016 9:16
1012054,Goochland Fairground Farmers Market,http://www.rvagriculture.org,https://www.facebook.com/GoochlandFairgroundFarmersMarket/,www.twitter.com/rvag_inc,,https://www.pinterest.com/chiknegg/goochland-fairground-farmers-market/,2650 Fairground Road,Goochland,Goochland,Virginia,23103,05/03/2016 to 10/25/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-77.888205,37.698485,,6/28/2016 10:30
1012055,Grown to Go Mobile Market - Western Goochland,http://www.rvagriculture.org,https://www.facebook.com/RVAgriculture.org/?fref=ts,https://www.twitter.com/rvag_inc,,,2397 Hadensville Fife Road,Goochland,Goochland,Virginia,23063,07/10/2016 to 10/16/2016,Sun: 1:00 PM-2:30 PM;,,,,,,,-78.056357,37.740096,,6/28/2016 10:37
1012056,Sustainable Nantucket Mid-Island Farmers Market,http://www.sustainablenantucket.org/,Sustainable Nantucket Farmers & Artisans Market,,,,113 Pleasant Street,Nantucket,Nantucket,Massachusetts,2554,07/06/2016 to 09/14/2016,Wed: 3:30 PM-6:30 PM;,,,,,,,-70.093518,41.272936,,6/28/2016 11:05
1012057,The Silver City Farmers' Market,http://www.massinmotiontaunton.org/the-silver-city-farmers-market,The Silver City Farmers Market,,,,Hamilton Street and Hopewell St,Taunton,Bristol,Massachusetts,2780,07/14/2016 to 10/13/2016,Thu: 4:30 PM-7:30 PM;,,,,,,,-71.094872,41.913428,,6/28/2016 11:51
1012058,Bristol County Agricultural High School,http://www.bcahs.com ,Bristol Aggie Grows Farm Stand,,,,135 center street ,Dighton ,Bristol,Massachusetts,2715,,Sat: 8:00 AM-1:00 PM;,,,,,,,-71.112588,41.835966,,6/28/2016 11:44
1012059,Crescent Ridge Farmers Market,http://crescentridgefarmersmarket.com,,,,,407 Bay Road,Sharon,Norfolk,Massachusetts,2067,06/11/2016 to 10/22/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-71.186029,42.117516,,6/28/2016 11:41
1012060,Petersham Friday Market,http://www.petershamcommon.com/fridaymarket.htm,,,,,,Petersham,Worcester,Massachusetts,1366,06/17/2016 to 10/21/2016,,,,,,,,-72.186669,42.488744,,6/28/2016 11:43
1012061,"Fayettevill, Arkansas Farmers' Market",,https://www.facebook.com/Fayetteville-Arkansas-Farmers-Market-372790109508/,,,,101 W. Mountain Street,Fayetteville,Washington,Arkansas,72701,04/02/2016 to 10/29/2016,Tue: 7:00 AM-1:00 PM;Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-2:00 PM;,11/05/2016 to 11/19/2016,Sat: 7:00 AM-2:00 PM;,12/01/2016 to 03/25/2017,Sat: 9:00 AM-1:00 PM;,,,-94.160861,36.0616132,,6/28/2016 11:55
1012062,Vernon Farmers Market,http://www.vernontx.gov,Vernon Farmers Market Association,,,,1725 Wilbarger,Vernon ,Wilbarger,Texas,76384,05/14/2016 to 08/27/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-99.284047,34.15351,,6/28/2016 12:08
1012063, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville ,Caledonia,Vermont,5828,06/08/2016 to 10/12/2016,Wed: 9:00 AM-1:00 PM;,,,,,,,-72.140305,44.411013,,6/28/2016 12:10
1012064,Revere Farmers' Market,,https://www.facebook.com/reverefarmersmarket/,,,,249 Broadway,Revere,Suffolk,Massachusetts,2151,07/08/2016 to 10/07/2016,Fri: 12:30 PM-4:30 PM;,,,,,,,-71.013631,42.407274,,6/28/2016 12:01
1012065,Franklin Farmers Market,http://www.franklinfarmersmarketma.com,https://www.facebook.com/FranklinFarmersMarketMA/,,,,Main Street at High Street,Franklin,Norfolk,Massachusetts,2038,06/03/2016 to 10/28/2016,Fri: 12:00 PM-6:00 PM;,,,,,,,-71.401453,42.08777,,6/28/2016 12:26
1012066,Dexter Farmers' Market,,Dexter Farmers' Market,,,,29 Grove Street,Dexter,Penobscot,Maine,4930,05/21/2016 to 10/29/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-69.289062,45.026147,,6/28/2016 12:44
1012067,Egleston Farmers Market,http://Eglestonfarmersmarket.org,www.facebook.com/EglestonFarmersMarket,@EglestonFarmMkt,,,31 Germania Street,Jamaica Plain,Suffolk,Massachusetts,2130,05/14/2016 to 02/25/2017,Sat: 10:00 AM-2:00 PM;,,,,,,,-71.103239,42.314332,,6/28/2016 12:53
1012068,The Greenfield Tuesday Farmers' Market,http://tuesdayfarmersmarket.wordpress.com,https://www.facebook.com/greenfieldtuesdaymarket/,,,https://www.instagram.com/tuesdayfarmersmarket/,Sears Avenue,Greenfield,Franklin,Massachusetts,1301,05/24/2016 to 10/25/2016,Tue: 1:30 PM-6:30 PM;,,,,,,,-72.6039289,42.5883382,,6/28/2016 13:13
1012070,Smart Markets Chantilly,http://www.smartmarkets.org,www.facebook.com/smartmarketschantilly,@smartmarkets,,,3460 Centreville Road,Chantilly,Fairfax,Virginia,22051,04/28/2016 to 11/25/2016,Thu: 3:30 PM-7:00 PM;,,,,,,,-77.4237072,38.9090074,,6/28/2016 13:48
1012071,Ennis Farmers Market,http://ennistx.com/farmers-market,https://www.facebook.com/ennistxfarmersmarket,https://twitter.com/ennisfarmmarket,https://www.youtube.com/results?search_query=ennis+farmers+market+,https://www.instagram.com/ennisfarmersmarket/,100 N. Dallas Street,Ennis ,Ellis,Texas,75119,04/02/2016 to 10/29/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-96.628182,32.327437,,6/28/2016 14:29
